,latitude,longitude,name
0,54.24,132.99,Langara Airport
1,55.47,133.148,Craig
2,55.948,133.665,Edna Bay
3,56.25,134.65,Port Alexander
4,57.05,135.34,Sitka
5,57.96,136.225,Pelican
6,58.194,136.345,Elfin Cove
7,59.165,138.487,Dry Bay
8,59.505,139.669,Yakutat
14,59.235428,151.878778,Dog Fish Bay
15,57.790583,152.406392, Kodiak
16,56.944275,154.19205, Akhiok
17,59.043053,158.493831,Dillingham
0,55.212,132.837,Hydaburg
5,57.675,136.17,Klagbay
8,58.64,137.64,Lituya Bay
11,59.89,141.421,Icy Bay
15,59.64,151.54,Homer
16,56.29,158.4,Chignik
0,55.047,131.578,Metlakatla Airport
1,55.356,131.689,Ketchikan
2,55.54,132.4009,Kasaan
3,56.0,132.542,Thorne Bay
4,56.014,132.829,Coffman Cove
5,56.47,132.379,Wrangell Airport
6,56.802,132.949,Petersburg Airport
7,56.96,133.915,Kake Airport
8,57.49,134.559,Angoon
9,58.095,135.412,Hoonah Airport
10,58.36,134.585,Juneau Airport
11,58.427,135.705,Gustavus Airport
12,58.978,136.109,Nunatak Cove
13,59.235,135.45,Haines
14,59.458,135.321,Skagway Airport
30,59.3988,135.8894,Klukwan
