,name,lon-round,lat-round
0,Langara Airport,133.0,54.0
1,Craig,133.0,55.5
2,Edna Bay,133.5,56.0
3,Port Alexander,134.5,56.0
4,Sitka,135.5,57.0
5,Pelican,136.0,58.0
6,Elfin Cove,136.5,58.0
7,Dry Bay,138.5,59.0
8,Yakutat,139.5,59.5
9,Cape Suckling,144.0,60.0
10,Cordova,145.5,60.5
11,Valdez,146.0,61.0
12,Whittier,148.5,61.0
13, Seward,149.5,60.0
14,Dog Fish Bay,152.0,59.0
15, Kodiak,152.5,58.0
16, Akhiok,154.0,57.0
17,Dillingham,158.5,59.0
18,Eek,162.0,60.0
19,Toksook,165.0,60.5
20,Hooper,166.0,61.5
21,Kotlik,163.5,63.0
22,Unalakleet,161.0,64.0
23,Nome,165.5,64.5
24,Kotzebue,162.5,67.0
25,Kagvik,163.5,67.5
26,Kivalina,164.5,68.0
27,Hydaburg,133.0,55.0
28,Klagbay,136.0,57.5
29,Lituya Bay,137.5,58.5
30,Icy Bay,141.5,60.0
31,Homer,151.5,59.5
32,Chignik,158.5,56.5
33,Kipnuk,164.0,60.0
34,Cape Romanzof,166.0,62.0
