,Hoonah,time,Skagway,Klukwan,Yakutat,Craig,Kasaan
0,16.499893,1980-01-01,327.24258,228.14034,59.335022,115.46648,100.15622
1,65.69805,1980-01-02,337.50693,234.49437,59.82384,114.19504,99.80912
2,53.430416,1980-01-03,306.87198,231.60265,71.32924,175.44032,42.63434
3,22.557716,1980-01-04,280.96802,247.92755,62.434628,332.55725,334.23474
4,85.936264,1980-01-05,299.0257,185.71565,85.01954,18.865433,355.3353
5,88.93935,1980-01-06,294.9472,154.37137,85.0009,131.24435,117.75978
6,72.91245,1980-01-07,290.33276,251.28423,61.487915,72.967316,28.28875
7,47.2955,1980-01-08,279.36523,271.5326,68.62646,38.63018,21.526154
8,91.02534,1980-01-09,267.2256,221.05005,70.95007,22.455734,346.1388
9,26.834541,1980-01-10,254.47124,242.83932,69.38174,56.907642,21.526886
10,44.470818,1980-01-11,275.76447,245.2023,66.77675,42.82597,18.37716
11,34.589718,1980-01-12,283.91748,237.25526,70.38456,14.217438,344.6708
12,75.14441,1980-01-13,294.73474,240.92256,63.718643,195.27422,133.20444
13,84.207436,1980-01-14,333.55777,251.37668,64.72576,178.3078,144.43524
14,117.05199,1980-01-15,358.47888,33.236317,107.120026,186.84796,155.83475
15,168.72086,1980-01-16,43.70988,36.660027,104.346825,224.81064,194.82443
16,174.57626,1980-01-17,23.246674,52.94904,143.75345,247.82068,274.5657
17,111.42623,1980-01-18,329.9024,68.89756,134.5174,125.28031,117.318756
18,93.1678,1980-01-19,300.9351,28.79617,72.817474,134.49893,120.35121
19,95.308174,1980-01-20,306.03943,42.256306,85.373215,135.56757,122.03859
20,89.050606,1980-01-21,292.927,62.155834,56.25725,116.32466,113.8071
21,94.43506,1980-01-22,314.91928,12.594559,95.381355,140.52844,125.993805
22,218.3285,1980-01-23,26.552364,30.854965,270.1342,271.3588,256.80933
23,342.1178,1980-01-24,330.5338,273.24026,57.7786,333.07397,329.3041
24,47.251865,1980-01-25,290.5454,276.65448,57.14535,38.653976,16.996826
25,60.27613,1980-01-26,284.24295,282.69562,59.49785,51.5508,22.106773
26,80.00283,1980-01-27,296.96582,242.98575,3.828865,43.85153,11.213287
27,101.89575,1980-01-28,290.2132,214.39957,96.65181,112.709366,96.848076
28,63.61448,1980-01-29,286.12558,222.05804,67.678535,162.3812,121.37154
29,71.1299,1980-01-30,290.86194,238.27423,58.714886,134.23248,109.62662
30,84.55656,1980-01-31,340.83817,256.12402,56.927704,131.4336,124.07921
31,88.294395,1980-02-01,298.58426,2.9131546,89.21602,132.3136,117.83006
32,87.15024,1980-02-02,314.07913,2.5142212,71.02042,122.63199,110.99014
33,118.471985,1980-02-03,348.73578,28.258533,93.90866,166.89734,136.88332
34,140.95584,1980-02-04,42.146294,37.385746,117.42961,169.86783,144.87971
35,85.7686,1980-02-05,319.62427,20.592026,80.61745,118.89666,108.543304
36,94.05469,1980-02-06,318.3832,14.512131,86.15584,132.82353,112.8667
37,139.2442,1980-02-07,339.42218,21.875763,142.1885,164.58443,145.95013
38,97.750824,1980-02-08,338.13055,331.03793,58.19021,75.62519,107.215515
39,94.05199,1980-02-09,290.81763,244.67564,78.12567,94.96849,59.8014
40,94.14803,1980-02-10,299.9047,111.761154,93.79078,126.42163,119.63182
41,97.3971,1980-02-11,312.47833,206.04828,81.69025,11.863411,337.58868
42,95.92919,1980-02-12,323.4381,216.46472,338.0916,24.4962,354.24432
43,93.70911,1980-02-13,296.95227,223.52417,50.26273,86.91704,66.47763
44,97.8541,1980-02-14,290.10577,231.30919,192.27989,65.701485,47.86515
45,83.72369,1980-02-15,283.10815,262.05933,111.3018,62.616966,60.790382
46,95.405426,1980-02-16,286.19073,249.3372,149.30399,80.076195,84.2344
47,78.5055,1980-02-17,289.87933,241.5646,141.44926,53.37095,19.07299
48,72.80008,1980-02-18,282.31903,253.4628,65.84509,52.83858,16.32647
49,62.439564,1980-02-19,290.63025,246.736,89.17977,66.35557,85.2202
50,75.53285,1980-02-20,328.03253,134.96703,65.12945,123.619484,106.17549
51,90.38316,1980-02-21,345.63193,18.893097,81.223015,153.45102,127.38213
52,92.26008,1980-02-22,309.65213,31.869347,59.073006,148.41333,126.41193
53,87.197426,1980-02-23,313.18698,12.300133,70.65457,125.908875,108.50723
54,82.99436,1980-02-24,314.3213,356.7995,59.692623,115.46545,106.065056
55,81.930214,1980-02-25,323.52008,244.40149,63.13284,127.43297,113.84656
56,80.032,1980-02-26,318.91043,258.94043,61.892937,97.11024,94.02057
57,83.59733,1980-02-27,332.8445,257.62952,52.04157,109.43805,100.53594
58,85.78449,1980-02-28,342.8174,252.14265,66.56852,96.94483,88.10225
59,,1980-02-29,,,,,
60,13.39856,1980-03-01,297.76483,240.77277,73.02678,153.28836,132.26562
61,45.4781,1980-03-02,312.98224,44.011707,71.36858,182.6511,137.23877
62,74.10991,1980-03-03,290.0705,64.63811,63.265045,70.955795,31.737305
63,85.28244,1980-03-04,303.45132,177.60648,91.41275,78.55664,75.973434
64,96.84632,1980-03-05,240.38002,131.23941,94.58015,32.649628,11.541794
65,119.36502,1980-03-06,321.3449,211.22534,100.428375,342.48248,326.84995
66,93.49862,1980-03-07,226.21696,111.285416,82.74786,320.03503,320.40247
67,160.19583,1980-03-08,353.4764,42.48331,114.46075,221.76408,187.77597
68,182.46243,1980-03-09,157.79156,63.24588,134.23996,0.51239777,33.22373
69,344.9405,1980-03-10,227.39246,115.97574,55.85574,351.37222,344.37482
70,347.2566,1980-03-11,327.58862,233.55113,61.95279,323.41507,311.44702
71,69.67699,1980-03-12,295.75433,120.02827,65.66032,151.401,117.40396
72,62.639305,1980-03-13,290.0443,297.1497,54.5951,7.204651,31.791965
73,54.396095,1980-03-14,290.40775,351.5537,68.88847,76.21475,111.99595
74,83.33175,1980-03-15,335.9309,61.96714,89.43491,167.12878,131.49553
75,96.88567,1980-03-16,325.18362,8.632462,62.82837,157.09592,135.33618
76,101.61873,1980-03-17,308.57196,50.433453,105.12625,244.16945,185.66289
77,164.09985,1980-03-18,323.83725,33.674725,74.58621,241.71368,209.16983
78,109.37991,1980-03-19,187.2132,31.834667,60.474983,160.59662,137.24014
79,71.8339,1980-03-20,291.6466,272.20178,47.23685,161.17618,132.69823
80,142.57678,1980-03-21,328.5667,34.059048,100.43048,177.77075,154.27475
81,355.52527,1980-03-22,260.46228,224.10358,26.845886,226.85806,196.9675
82,183.04652,1980-03-23,281.1336,330.60077,69.21304,291.85846,290.2621
83,80.43677,1980-03-24,336.2704,75.47023,54.386425,123.89678,111.07076
84,88.850395,1980-03-25,320.21185,8.274361,77.81987,139.32068,120.80427
85,91.12394,1980-03-26,290.85086,19.693535,92.65008,198.857,135.31802
86,96.47716,1980-03-27,329.56436,31.735847,69.53849,152.68054,138.10114
87,131.18906,1980-03-28,331.03006,15.887901,67.74803,205.82942,178.25839
88,184.67195,1980-03-29,277.76895,42.434895,106.255684,295.3332,297.3698
89,100.616684,1980-03-30,272.7724,42.29159,85.48875,150.53282,133.23906
90,197.14978,1980-03-31,227.63065,84.42898,141.68939,292.29413,294.5589
91,106.68708,1980-04-01,315.3405,95.47042,94.226776,126.60913,1.6576385
92,97.27019,1980-04-02,308.21106,29.328754,118.63774,133.95398,124.51244
93,79.1521,1980-04-03,328.72424,53.943737,71.69929,123.174576,118.2737
94,75.85667,1980-04-04,321.6447,13.724152,58.944714,116.742516,106.89316
95,62.359543,1980-04-05,346.52417,267.63995,52.18273,109.3139,104.342834
96,68.83512,1980-04-06,312.69177,66.26813,46.006367,116.832306,117.46153
97,88.4821,1980-04-07,186.19873,75.9153,104.45321,161.39458,138.26262
98,72.39475,1980-04-08,327.876,34.687893,75.21731,107.92586,92.44663
99,54.676968,1980-04-09,290.3166,266.81,30.961735,83.19384,75.75619
100,80.639244,1980-04-10,330.1728,191.15894,76.15297,93.0954,80.903366
101,90.22208,1980-04-11,299.19238,7.7344055,67.38314,142.66588,134.90378
102,108.29178,1980-04-12,305.4862,18.752182,135.77719,157.53714,136.50974
103,150.6518,1980-04-13,113.053085,43.482235,119.110596,178.19934,180.30203
104,40.200096,1980-04-14,337.12402,306.10745,80.86775,17.067276,41.74737
105,132.70082,1980-04-15,166.80106,52.432,84.777916,160.45497,147.28552
106,79.10216,1980-04-16,327.45908,345.4712,85.37966,156.26794,141.49507
107,98.22667,1980-04-17,303.5094,23.243591,84.016396,166.62726,144.7547
108,89.59203,1980-04-18,314.93506,251.12086,61.44606,140.18011,129.69633
109,92.26334,1980-04-19,299.6087,0.4094925,104.736755,156.73108,133.89948
110,86.9412,1980-04-20,230.43379,18.342903,80.344536,158.83463,133.98645
111,108.43415,1980-04-21,307.98248,14.276573,105.73611,160.96426,144.78233
112,103.93838,1980-04-22,302.81006,16.546623,117.25661,151.78,131.30655
113,95.563095,1980-04-23,183.46338,42.95608,123.85471,131.5739,120.33477
114,70.581085,1980-04-24,299.63092,263.57877,58.47776,131.78249,123.197556
115,87.19825,1980-04-25,337.63904,281.07654,52.265175,129.17336,123.06487
116,83.906845,1980-04-26,263.22968,342.1044,77.85915,135.88033,123.66092
117,91.32708,1980-04-27,303.62558,335.13065,79.81844,149.43683,136.29549
118,93.062935,1980-04-28,207.7604,9.3942795,99.64801,153.03957,130.25964
119,90.12983,1980-04-29,210.66113,33.64673,108.077065,157.16965,140.02473
120,104.2948,1980-04-30,293.22577,358.15872,96.19352,161.77327,140.95844
121,102.43729,1980-05-01,327.91077,6.864456,98.81128,156.46713,133.18211
122,168.71252,1980-05-02,207.76093,30.52584,148.87343,219.86772,209.6435
123,215.13866,1980-05-03,175.71667,101.27612,116.4209,264.13696,263.71884
124,37.856926,1980-05-04,284.13275,274.69403,26.711891,42.706238,18.190742
125,64.46575,1980-05-05,302.0728,262.70093,60.82248,107.689095,102.862404
126,327.94107,1980-05-06,199.90518,189.46689,131.6616,170.68289,139.33148
127,86.984886,1980-05-07,131.26222,65.902115,94.10761,138.0056,127.74693
128,84.10822,1980-05-08,232.0505,243.3186,125.360245,140.34239,128.42987
129,21.51088,1980-05-09,282.36102,255.76581,319.7858,81.03663,21.700844
